LLSat1.ElapsedDays        LLSat1.EarthMJ2000Eq.BrouwerShortSMA   LLSat7.EarthMJ2000Eq.BrouwerShortSMA   LLSat3.EarthMJ2000Eq.BrouwerShortSMA   
0.08915294947291841       6659.085405318095                      6659.074647862877                      6659.057285756052                      
0.09048163724219194       6659.065884951559                      6659.055003988556                      6659.037456191855                      
0.09176290451432578       6659.048004663126                      6659.037013653608                      6659.019299620722                      
0.09305076676537283       6659.031674943423                      6659.020581694118                      6659.002712608892                      
0.09436253691455931       6659.017707301145                      6659.00651681687                       6658.988499670281                      
0.09570375370458351       6659.007478236225                      6658.996193020498                      6658.978030845007                      
0.09700794152377057       6659.002724480886                      6658.991348934132                      6658.973047501473                      
0.09835033281342476       6659.004150553376                      6658.992680870773                      6658.974233314516                      
0.09973109235943411       6659.012536043243                      6659.000965125138                      6658.982359777277                      
0.1010486585328181        6659.026229647911                      6659.014554882594                      6658.995788320261                      
