Theta[deg],Phi[deg],dB(RealizedGainLHCP)
260,190,-19.3141
270,190,-16.9918
280,190,-15.2787
290,190,-13.4015
300,190,-11.2271
310,190,-9.01263
320,190,-7.10151
330,190,-5.77543
340,190,-5.26818
350,190,-5.84161
360,190,-7.91829
0,200,-7.9183
10,200,-11.6583
20,200,-11.9481
30,200,-6.97004
40,200,-3.36269
50,200,-1.14961
60,200,0.159259
70,200,0.889618
80,200,1.26819
90,200,1.4503
100,200,1.52597
110,200,1.53252
120,200,1.48156
130,200,1.38848
140,200,1.28477
150,200,1.19639
160,200,1.09548
170,200,0.871807
180,200,0.358596
190,200,-0.620424
200,200,-2.23132
210,200,-4.6494
220,200,-8.12879
230,200,-13.228
240,200,-22.0661
250,200,-33.2397
260,200,-20.9174
270,200,-17.1619
280,200,-14.868
290,200,-12.8827
300,200,-10.8407
310,200,-8.78455
320,200,-6.98517
330,200,-5.73358
340,200,-5.27775
350,200,-5.87831
360,200,-7.91829
0,210,-7.91829
10,210,-11.2074
20,210,-11.2738
30,210,-6.88959
40,210,-3.50199
50,210,-1.35917
60,210,-0.0350177
70,210,0.791452
80,210,1.33815
90,210,1.72484
100,210,1.98444
110,210,2.09903
120,210,2.04695
130,210,1.84156
140,210,1.54944
150,210,1.26732
160,210,1.04321
170,210,0.800605
180,210,0.358596
190,210,-0.483406
200,210,-1.89354
210,210,-4.00782
220,210,-6.96001
230,210,-10.9496
240,210,-16.422
250,210,-23.256
260,210,-20.9153
270,210,-16.2557
280,210,-13.4296
290,210,-11.6144
300,210,-10.1487
310,210,-8.61003
320,210,-7.05745
330,210,-5.87027
340,210,-5.41316
350,210,-5.98475
360,210,-7.91829
0,220,-7.91829
10,220,-10.7117
20,220,-10.7191
30,220,-6.98859
40,220,-3.87982
50,220,-1.86097
60,220,-0.580351
70,220,0.276701
80,220,0.923541
90,220,1.45543
100,220,1.86607
110,220,2.09923
120,220,2.10534
130,220,1.88581
140,220,1.52128
150,220,1.15635
160,220,0.899142
170,220,0.69847
180,220,0.358596
190,220,-0.335078
200,220,-1.53398
210,220,-3.31006
220,220,-5.65568
230,220,-8.50064
240,220,-11.8116
250,220,-15.5821
260,220,-17.9165
270,220,-15.6953
280,220,-12.8837
290,220,-11.1101
300,220,-9.9733
310,220,-8.82335
320,220,-7.44002
330,220,-6.22886
340,220,-5.68968
350,220,-6.16442
360,220,-7.91829
0,230,-7.91829
10,230,-10.1996
20,230,-10.2352
30,230,-7.20388
40,230,-4.44902
50,230,-2.62374
60,230,-1.46405
70,230,-0.660021
80,230,0.0110051
90,230,0.636427
100,230,1.18143
110,230,1.55377
120,230,1.67254
130,230,1.52132
140,230,1.1869
150,230,0.8495
160,230,0.657976
170,230,0.566246
180,230,0.358596
190,230,-0.182025
200,230,-1.17571
210,230,-2.62714
220,230,-4.42954
230,230,-6.43107
240,230,-8.62112
250,230,-11.2136
260,230,-14.0533
270,230,-15.0339
280,230,-13.3985
290,230,-11.7664
300,230,-10.7505
310,230,-9.72102
320,230,-8.26488
330,230,-6.8534
340,230,-6.12082
350,230,-6.4196
360,230,-7.91829
0,240,-7.91829
10,240,-9.69018
20,240,-9.7889
30,240,-7.47566
40,240,-5.15535
50,240,-3.59907
60,240,-2.64357
70,240,-1.9824
80,240,-1.3641
90,240,-0.68936
100,240,-0.0174791
110,240,0.515575
120,240,0.79011
130,240,0.770487
140,240,0.552299
150,240,0.347613
160,240,0.322831
170,240,0.407171
180,240,0.358596
190,240,-0.0303796
200,240,-0.841211
210,240,-2.02545
220,240,-3.43235
230,240,-4.92333
240,240,-6.55957
250,240,-8.62515
260,240,-11.3532
270,240,-14.1441
280,240,-14.8671
290,240,-13.8586
300,240,-12.8842
310,240,-11.6327
320,240,-9.67399
330,240,-7.78485
340,240,-6.71807
350,240,-6.7512
360,240,-7.91829
0,250,-7.91829
10,250,-9.19588
20,250,-9.36126
30,250,-7.75085
40,250,-5.93647
50,250,-4.71351
60,250,-4.02727
70,250,-3.58098
80,250,-3.07981
90,250,-2.39433
100,250,-1.60789
110,250,-0.910647
120,250,-0.465484
130,250,-0.32048
140,250,-0.358161
150,250,-0.333392
160,250,-0.0941905
170,250,0.226886
180,250,0.358596
190,250,0.114695
200,250,-0.548249
210,250,-1.55067
220,250,-2.73724
230,250,-4.00225
240,250,-5.44129
250,250,-7.34608
260,250,-10.0645
270,250,-13.7715
280,250,-17.425
290,250,-18.307
300,250,-17.4043
310,250,-15.1718
320,250,-11.8319
330,250,-9.05849
340,250,-7.49142
350,250,-7.15848
360,250,-7.91829
0,260,-7.91829
10,260,-8.7243
20,260,-8.94304
30,260,-7.98571
40,260,-6.72365
50,260,-5.86791
60,260,-5.46616
70,260,-5.25029
80,260,-4.89092
90,260,-4.22663
100,260,-3.36491
110,260,-2.54927
120,260,-1.97501
130,260,-1.68118
140,260,-1.50297
150,260,-1.16238
160,260,-0.572148
170,260,0.0331668
180,260,0.358597
190,260,0.249402
200,260,-0.306921
210,260,-1.22237
220,260,-2.35979
230,260,-3.64106
240,260,-5.16687
250,260,-7.2247
260,260,-10.2401
270,260,-14.86
280,260,-22.305
290,260,-32.1516
300,260,-31.6277
310,260,-22.1174
320,260,-14.9129
330,260,-10.7053
340,260,-8.45149
350,260,-7.63872
360,260,-7.91829
0,270,-7.91829
10,270,-8.27987
20,270,-8.52995
30,270,-8.14656
40,270,-7.4454
50,270,-6.94427
60,270,-6.76369
70,270,-6.69594
80,270,-6.42885
90,270,-5.80711
100,270,-4.9598
110,270,-4.15328
120,270,-3.57762
130,270,-3.22008
140,270,-2.82499
150,270,-2.09282
160,270,-1.08227
170,270,-0.164636
180,270,0.358597
190,270,0.371515
200,270,-0.118483
210,270,-1.03474
220,270,-2.27383
230,270,-3.78601
240,270,-5.67923
250,270,-8.27904
260,270,-12.2257
270,270,-19.1019
280,270,-29.4144
290,270,-21.9561
300,270,-21.2883
310,270,-24.7471
320,270,-18.6762
330,270,-12.7594
340,270,-9.61327
350,270,-8.18662
360,270,-7.91829
0,280,-7.91829
10,280,-7.86515
20,280,-8.11961
30,280,-8.2092
40,280,-8.03241
50,280,-7.8186
60,280,-7.70905
70,280,-7.60622
80,280,-7.31233
90,280,-6.74957
100,280,-6.0554
110,280,-5.46075
120,280,-5.09678
130,280,-4.83522
140,280,-4.25316
150,280,-3.06293
160,280,-1.59021
170,280,-0.356395
180,280,0.358596
190,280,0.480313
200,280,0.0241831
210,280,-0.959537
220,280,-2.4158
230,280,-4.34246
240,280,-6.9014
250,280,-10.6181
260,280,-17.1815
270,280,-43.1903
280,280,-18.3576
290,280,-14.5601
300,280,-14.3192
310,280,-16.9338
320,280,-20.1723
330,280,-15.2526
340,280,-10.9998
350,280,-8.79321
360,280,-7.91829
0,290,-7.91829
10,290,-7.48171
20,290,-7.71068
30,290,-8.15911
40,290,-8.42673
50,290,-8.38686
60,290,-8.15132
70,290,-7.81568
80,290,-7.39443
90,290,-6.92102
100,290,-6.51392
110,290,-6.32797
120,290,-6.40617
130,290,-6.4375
140,290,-5.704
150,290,-3.99783
160,290,-2.05981
170,290,-0.532146
180,290,0.358596
190,290,0.576266
200,290,0.13468
210,290,-0.95027
220,290,-2.68283
230,290,-5.1338
240,290,-8.56752
250,290,-13.7709
260,290,-21.0631
270,290,-16.6919
280,290,-12.378
290,290,-10.6649
300,290,-10.8382
310,290,-12.9909
320,290,-17.5979
330,290,-18.0251
340,290,-12.6384
350,290,-9.44395
360,290,-7.91829
0,300,-7.91829
10,300,-7.13099
20,300,-7.30364
30,300,-7.9935
40,300,-8.59782
50,300,-8.61466
60,300,-8.11124
70,300,-7.46458
80,300,-6.91808
90,300,-6.57729
100,300,-6.52466
110,300,-6.84662
120,300,-7.51243
130,300,-7.98265
140,300,-7.08182
150,300,-4.81697
160,300,-2.4583
170,300,-0.683022
180,300,0.358596
190,300,0.660516
200,300,0.230037
210,300,-0.949198
220,300,-2.93597
230,300,-5.85898
240,300,-9.89084
250,300,-14.1027
260,300,-13.5648
270,300,-10.6695
280,300,-8.80099
290,300,-8.11412
300,300,-8.59949
310,300,-10.5053
320,300,-14.5556
330,300,-19.6892
340,300,-14.528
350,300,-10.1162
360,300,-7.91829
0,310,-7.91829
10,310,-6.81481
20,310,-6.90209
30,310,-7.72379
40,310,-8.55928
50,310,-8.58131
60,310,-7.81594
70,310,-6.93199
80,310,-6.34047
90,310,-6.17165
100,310,-6.47836
110,310,-7.30751
120,310,-8.58029
130,310,-9.48646
140,310,-8.27806
150,310,-5.44956
160,310,-2.76159
170,310,-0.802023
180,310,0.358596
190,310,0.734254
200,310,0.326866
210,310,-0.898679
220,310,-3.02549
230,310,-6.14965
240,310,-9.8802
250,310,-11.3403
260,310,-9.46095
270,310,-7.57004
280,310,-6.52233
290,310,-6.28815
300,310,-6.88853
310,310,-8.55134
320,310,-11.9103
330,310,-18.0991
340,310,-16.5113
350,310,-10.7766
360,310,-7.91829
0,320,-7.91829
10,320,-6.5357
20,320,-6.5137
30,320,-7.37596
40,320,-8.3688
50,320,-8.45587
60,320,-7.57976
70,320,-6.60971
80,320,-6.07163
90,320,-6.11038
100,320,-6.76399
110,320,-8.0593
120,320,-9.86634
130,320,-10.9869
140,320,-9.18072
150,320,-5.85512
160,320,-2.95776
170,320,-0.884473
180,320,0.358596
190,320,0.798109
200,320,0.437396
210,320,-0.755681
220,320,-2.84169
230,320,-5.78909
240,320,-8.7074
250,320,-9.0264
260,320,-7.31479
270,320,-5.81796
280,320,-5.0003
290,320,-4.83702
300,320,-5.35651
310,320,-6.76479
320,320,-9.59445
330,320,-15.0926
340,320,-17.9851
350,320,-11.3796
360,320,-7.91829
0,330,-7.91829
10,330,-6.29712
20,330,-6.15024
30,330,-6.98644
40,330,-8.10284
50,330,-8.41077
60,330,-7.66876
70,330,-6.78658
80,330,-6.39705
90,330,-6.68329
100,330,-7.68483
110,330,-9.41163
120,330,-11.62
130,330,-12.4483
140,330,-9.71436
150,330,-6.03571
160,330,-3.04691
170,330,-0.928123
180,330,0.358596
190,330,0.85168
200,330,0.56633
210,330,-0.504124
220,330,-2.35972
230,330,-4.8372
240,330,-7.03471
250,330,-7.27274
260,330,-5.97014
270,330,-4.64338
280,330,-3.79677
290,330,-3.51537
300,330,-3.8818
310,330,-5.09862
320,330,-7.61072
330,330,-12.4473
340,330,-18.0463
350,330,-11.8713
360,330,-7.91829
0,340,-7.91829
10,340,-6.10334
20,340,-5.82672
30,340,-6.59529
40,340,-7.82248
50,340,-8.53912
60,340,-8.24552
70,340,-7.66103
80,340,-7.52277
90,340,-8.10325
100,340,-9.46995
110,340,-11.6101
120,340,-13.9909
130,340,-13.6887
140,340,-9.89312
150,340,-6.02671
160,340,-3.03741
170,340,-0.932942
180,340,0.358597
190,340,0.893295
200,340,0.70939
210,340,-0.159004
220,340,-1.64124
230,340,-3.50407
240,340,-5.08231
250,340,-5.42692
260,340,-4.58542
270,340,-3.45233
280,340,-2.59106
290,340,-2.22857
300,340,-2.51331
310,340,-3.64596
320,340,-6.00283
330,340,-10.4202
340,340,-16.8308
350,340,-12.2
360,340,-7.91829
0,350,-7.91829
10,350,-5.9593
20,350,-5.56008
30,350,-6.24043
40,350,-7.556
50,350,-8.80238
60,350,-9.31961
70,350,-9.35181
80,350,-9.61858
90,350,-10.542
100,350,-12.2754
110,350,-14.8031
120,350,-16.9128
130,350,-14.4976
140,350,-9.80624
150,350,-5.8698
160,350,-2.94069
170,350,-0.900749
180,350,0.358597
190,350,0.92005
200,350,0.853874
210,350,0.239144
220,350,-0.799872
230,350,-2.02709
240,350,-3.0215
250,350,-3.30985
260,350,-2.83252
270,350,-2.01815
280,350,-1.32376
